#WEBOTS_MOTION,V1.0,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
1.08,Pose55,0,-0.105,-0.418,1.038,-0.62,0.157,0,-0.164,-0.739,1.148,-0.409,0.164
1.1,Pose56,0,-0.124,-0.37,1.006,-0.636,0.128,0,-0.128,-0.657,1.009,-0.352,0.128
1.12,Pose57,0,-0.099,-0.334,0.988,-0.654,0.099,0,-0.099,-0.628,1.006,-0.378,0.099
1.14,Pose58,0,-0.04,-0.279,0.964,-0.685,0.04,0,-0.04,-0.596,1.028,-0.432,0.04
1.16,Pose59,0,0.007,-0.233,0.935,-0.702,-0.007,0,0.007,-0.566,1.034,-0.468,-0.007
1.18,Pose60,0,0.054,-0.181,0.893,-0.712,-0.054,0,0.054,-0.53,1.029,-0.499,-0.054
1.2,Pose61,0,0.095,-0.126,0.839,-0.714,-0.095,0,0.095,-0.49,1.014,-0.524,-0.095
1.22,Pose62,0,0.141,-0.11,0.869,-0.759,-0.141,0,0.121,-0.437,0.986,-0.55,-0.138
1.24,Pose63,0,0.166,-0.194,1.018,-0.824,-0.166,0,0.105,-0.417,0.982,-0.565,-0.157
1.26,Pose64,0,0.194,-0.422,1.275,-0.852,-0.194,0,0.122,-0.415,0.998,-0.583,-0.174
1.28,Pose65,0,0.202,-0.591,1.372,-0.781,-0.202,0,0.126,-0.426,1.02,-0.593,-0.179
1.3,Pose66,0,0.198,-0.716,1.369,-0.653,-0.198,0,0.125,-0.437,1.04,-0.603,-0.177
1.32,Pose67,0,0.184,-0.764,1.278,-0.515,-0.184,0,0.118,-0.436,1.047,-0.612,-0.17
1.34,Pose68,0,0.152,-0.712,1.087,-0.375,-0.152,0,0.109,-0.404,1.029,-0.625,-0.149
1.36,Pose69,0,0.128,-0.657,1.009,-0.352,-0.128,0,0.123,-0.37,1.006,-0.636,-0.128
1.38,Pose70,0,0.099,-0.629,1.006,-0.378,-0.099,0,0.099,-0.334,0.988,-0.654,-0.099
1.4,Pose71,0,0.04,-0.596,1.028,-0.432,-0.04,0,0.04,-0.279,0.964,-0.685,-0.04
1.42,Pose72,0,-0.007,-0.566,1.034,-0.468,0.007,0,-0.007,-0.233,0.935,-0.702,0.007
1.44,Pose73,0,-0.055,-0.53,1.029,-0.499,0.055,0,-0.055,-0.181,0.893,-0.712,0.055
1.46,Pose74,0,-0.111,-0.471,1.002,-0.531,0.111,0,-0.112,-0.104,0.821,-0.716,0.112
1.48,Pose75,0,-0.121,-0.437,0.986,-0.549,0.138,0,-0.141,-0.11,0.869,-0.759,0.141
1.5,Pose76,0,-0.112,-0.413,0.985,-0.571,0.164,0,-0.177,-0.26,1.108,-0.848,0.177
1.52,Pose77,0,-0.122,-0.415,0.998,-0.583,0.174,0,-0.194,-0.422,1.275,-0.852,0.194
1.54,Pose78,0,-0.126,-0.426,1.019,-0.593,0.179,0,-0.202,-0.591,1.372,-0.781,0.202
1.56,Pose79,0,-0.122,-0.438,1.046,-0.608,0.174,0,-0.192,-0.751,1.332,-0.582,0.192
1.58,Pose80,0,-0.112,-0.429,1.045,-0.616,0.164,0,-0.174,-0.759,1.214,-0.456,0.174
1.6,Pose81,0,-0.109,-0.404,1.029,-0.624,0.149,0,-0.153,-0.712,1.087,-0.375,0.153
1.62,Pose82,0,-0.114,-0.352,0.996,-0.644,0.115,0,-0.115,-0.64,1,-0.361,0.115
1.64,Pose83,0,-0.081,-0.317,0.981,-0.665,0.081,0,-0.081,-0.619,1.014,-0.395,0.081
1.66,Pose84,0,-0.04,-0.279,0.965,-0.685,0.04,0,-0.04,-0.596,1.028,-0.432,0.04
1.68,Pose85,0,0.007,-0.234,0.936,-0.702,-0.007,0,0.007,-0.566,1.034,-0.468,-0.007
1.7,Pose86,0,0.076,-0.154,0.867,-0.713,-0.076,0,0.076,-0.51,1.022,-0.512,-0.076
1.72,Pose87,0,0.111,-0.105,0.821,-0.716,-0.111,0,0.111,-0.471,1.002,-0.531,-0.111
1.74,Pose88,0,0.154,-0.143,0.935,-0.792,-0.154,0,0.109,-0.425,0.983,-0.558,-0.148
1.76,Pose89,0,0.177,-0.261,1.108,-0.848,-0.177,0,0.112,-0.413,0.985,-0.571,-0.164
1.78,Pose90,0,0.194,-0.423,1.275,-0.852,-0.194,0,0.122,-0.415,0.998,-0.583,-0.174
1.8,Pose91,0,0.201,-0.662,1.384,-0.721,-0.201,0,0.126,-0.432,1.03,-0.598,-0.179
1.82,Pose92,0,0.192,-0.751,1.332,-0.582,-0.192,0,0.122,-0.438,1.046,-0.608,-0.174
1.84,Pose93,0,0.174,-0.759,1.214,-0.456,-0.174,0,0.112,-0.429,1.045,-0.616,-0.164
1.86,Pose94,0,0.141,-0.683,1.039,-0.356,-0.141,0,0.122,-0.388,1.017,-0.63,-0.139
1.88,Pose95,0,0.114,-0.64,1,-0.361,-0.114,0,0.114,-0.352,0.996,-0.644,-0.114
1.9,Pose96,0,0.081,-0.619,1.014,-0.395,-0.081,0,0.081,-0.317,0.982,-0.664,-0.081
1.92,Pose97,0,0.017,-0.582,1.033,-0.45,-0.017,0,0.017,-0.257,0.952,-0.694,-0.017
1.94,Pose98,0,-0.031,-0.549,1.033,-0.484,0.031,0,-0.031,-0.208,0.916,-0.708,0.031
1.96,Pose99,0,-0.076,-0.51,1.022,-0.512,0.076,0,-0.076,-0.154,0.867,-0.713,0.076
1.98,Pose100,0,-0.121,-0.453,0.993,-0.541,0.126,0,-0.127,-0.098,0.83,-0.732,0.127
2,Pose101,0,-0.109,-0.425,0.983,-0.557,0.148,0,-0.154,-0.143,0.935,-0.792,0.154
2.02,Pose102,0,-0.118,-0.413,0.99,-0.577,0.17,0,-0.187,-0.338,1.197,-0.859,0.187
2.04,Pose103,0,-0.125,-0.42,1.008,-0.588,0.177,0,-0.199,-0.509,1.335,-0.826,0.199
2.06,Pose104,0,-0.126,-0.432,1.03,-0.598,0.179,0,-0.201,-0.662,1.384,-0.721,0.201
2.08,Pose105,0,-0.122,-0.438,1.046,-0.607,0.174,0,-0.192,-0.751,1.332,-0.582,0.192
2.1,Pose106,0,-0.105,-0.418,1.038,-0.62,0.157,0,-0.164,-0.74,1.148,-0.408,0.164
2.12,Pose107,0,-0.122,-0.388,1.017,-0.63,0.139,0,-0.141,-0.683,1.039,-0.356,0.141
2.14,Pose108,0,-0.099,-0.334,0.988,-0.654,0.099,0,-0.099,-0.629,1.006,-0.377,0.099
2.16,Pose109,0,-0.062,-0.299,0.974,-0.675,0.062,0,-0.062,-0.608,1.022,-0.414,0.062
2.18,Pose110,0,-0.017,-0.258,0.952,-0.694,0.017,0,-0.017,-0.582,1.033,-0.45,0.017
2.2,Pose111,0,0.031,-0.208,0.916,-0.708,-0.031,0,0.031,-0.549,1.033,-0.484,-0.031
2.22,Pose112,0,0.095,-0.126,0.84,-0.714,-0.095,0,0.095,-0.491,1.014,-0.524,-0.095
2.24,Pose113,0,0.127,-0.098,0.83,-0.732,-0.127,0,0.121,-0.453,0.993,-0.54,-0.125
2.26,Pose114,0,0.154,-0.143,0.935,-0.792,-0.154,0,0.109,-0.425,0.983,-0.557,-0.148
2.28,Pose115,0,0.187,-0.338,1.197,-0.859,-0.187,0,0.118,-0.413,0.99,-0.577,-0.17
2.3,Pose116,0,0.199,-0.509,1.335,-0.826,-0.199,0,0.125,-0.42,1.009,-0.588,-0.177
2.32,Pose117,0,0.201,-0.662,1.384,-0.721,-0.201,0,0.126,-0.432,1.031,-0.598,-0.179
2.34,Pose118,0,0.184,-0.764,1.278,-0.514,-0.184,0,0.118,-0.436,1.048,-0.612,-0.17
2.36,Pose119,0,0.164,-0.74,1.148,-0.408,-0.164,0,0.105,-0.418,1.038,-0.62,-0.157
2.38,Pose120,0,0.141,-0.683,1.039,-0.356,-0.141,0,0.122,-0.388,1.018,-0.63,-0.139
2.4,Pose121,0,0.099,-0.629,1.006,-0.377,-0.099,0,0.099,-0.334,0.988,-0.654,-0.099
2.42,Pose122,0,0.062,-0.608,1.022,-0.413,-0.062,0,0.062,-0.299,0.974,-0.675,-0.062
2.44,Pose123,0,0.017,-0.582,1.033,-0.45,-0.017,0,0.017,-0.258,0.952,-0.694,-0.017
2.46,Pose124,0,-0.055,-0.53,1.029,-0.499,0.055,0,-0.055,-0.181,0.893,-0.711,0.055
2.48,Pose125,0,-0.095,-0.491,1.014,-0.523,0.095,0,-0.095,-0.126,0.84,-0.714,0.095
2.5,Pose126,0,-0.121,-0.437,0.987,-0.549,0.138,0,-0.141,-0.111,0.87,-0.759,0.141
2.52,Pose127,0,-0.105,-0.418,0.982,-0.565,0.157,0,-0.166,-0.195,1.018,-0.823,0.166
2.54,Pose128,0,-0.118,-0.413,0.99,-0.577,0.17,0,-0.187,-0.338,1.197,-0.859,0.187
2.56,Pose129,0,-0.125,-0.421,1.009,-0.588,0.177,0,-0.199,-0.509,1.335,-0.826,0.199
2.58,Pose130,0,-0.125,-0.437,1.04,-0.603,0.177,0,-0.198,-0.717,1.369,-0.652,0.198
2.6,Pose131,0,-0.118,-0.436,1.048,-0.612,0.17,0,-0.184,-0.764,1.278,-0.514,0.184
2.62,Pose132,0,-0.109,-0.404,1.029,-0.624,0.149,0,-0.153,-0.712,1.087,-0.375,0.153
2.64,Pose133,0,-0.124,-0.37,1.006,-0.636,0.128,0,-0.128,-0.657,1.008,-0.351,0.128
2.66,Pose134,0,-0.099,-0.334,0.988,-0.654,0.099,0,-0.099,-0.629,1.006,-0.377,0.099
