#WEBOTS_MOTION,V1.0,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll
4.96,Pose63,1.745,0.349,-1.396,-1.396,-0.09,0.282,-0.552,1.176,-0.571,-0.281,-0.09,0.183,-0.413,0.954,-0.488,-0.27,1.745,-0.349,1.396,1.396
5.04,Pose64,1.745,0.349,-1.396,-1.396,-0.147,0.301,-0.568,1.274,-0.613,-0.296,-0.147,0.193,-0.371,0.963,-0.499,-0.283,1.745,-0.349,1.396,1.396
5.12,Pose65,1.745,0.349,-1.396,-1.396,-0.189,0.31,-0.562,1.32,-0.635,-0.302,-0.189,0.196,-0.337,0.969,-0.509,-0.288,1.745,-0.349,1.396,1.396
5.2,Pose66,1.745,0.349,-1.396,-1.396,-0.232,0.317,-0.54,1.342,-0.648,-0.303,-0.232,0.196,-0.299,0.972,-0.519,-0.291,1.745,-0.349,1.396,1.396
5.28,Pose67,1.745,0.349,-1.396,-1.396,-0.297,0.323,-0.479,1.328,-0.646,-0.299,-0.297,0.189,-0.236,0.971,-0.532,-0.29,1.745,-0.349,1.396,1.396
5.36,Pose68,1.745,0.349,-1.396,-1.396,-0.338,0.324,-0.426,1.287,-0.629,-0.292,-0.338,0.18,-0.193,0.965,-0.54,-0.286,1.745,-0.349,1.396,1.396
5.44,Pose69,1.745,0.349,-1.396,-1.396,-0.394,0.32,-0.336,1.193,-0.585,-0.276,-0.394,0.16,-0.133,0.954,-0.549,-0.274,1.745,-0.349,1.396,1.396
5.52,Pose70,1.745,0.349,-1.396,-1.396,-0.424,0.313,-0.278,1.121,-0.548,-0.261,-0.424,0.143,-0.099,0.948,-0.553,-0.263,1.745,-0.349,1.396,1.396
5.6,Pose71,1.745,0.349,-1.396,-1.396,-0.449,0.303,-0.228,1.053,-0.512,-0.243,-0.449,0.15,-0.073,0.945,-0.557,-0.248,1.745,-0.349,1.396,1.396
5.68,Pose72,1.745,0.349,-1.396,-1.396,-0.467,0.288,-0.19,1.002,-0.486,-0.222,-0.467,0.167,-0.059,0.947,-0.561,-0.229,1.745,-0.349,1.396,1.396
5.76,Pose73,1.745,0.349,-1.396,-1.396,-0.477,0.254,-0.168,0.983,-0.479,-0.185,-0.477,0.145,-0.062,0.964,-0.566,-0.194,1.745,-0.349,1.396,1.396
5.84,Pose74,1.745,0.349,-1.396,-1.396,-0.478,0.22,-0.172,1.002,-0.496,-0.152,-0.478,0.113,-0.082,0.986,-0.568,-0.163,1.745,-0.349,1.396,1.396
5.92,Pose75,1.745,0.349,-1.396,-1.396,-0.478,0.152,-0.174,1.031,-0.524,-0.088,-0.478,0.047,-0.12,1.021,-0.568,-0.1,1.745,-0.349,1.396,1.396
6,Pose76,1.745,0.349,-1.396,-1.396,-0.478,0.097,-0.168,1.042,-0.542,-0.036,-0.478,-0.007,-0.144,1.037,-0.562,-0.049,1.745,-0.349,1.396,1.396
6.08,Pose77,1.745,0.349,-1.396,-1.396,-0.478,0.039,-0.155,1.043,-0.557,0.019,-0.478,-0.065,-0.162,1.044,-0.551,0.006,1.745,-0.349,1.396,1.396
6.16,Pose78,1.745,0.349,-1.396,-1.396,-0.478,-0.046,-0.122,1.023,-0.568,0.1,-0.478,-0.151,-0.175,1.033,-0.525,0.087,1.745,-0.349,1.396,1.396
6.24,Pose79,1.745,0.349,-1.396,-1.396,-0.478,-0.095,-0.096,1,-0.569,0.146,-0.478,-0.202,-0.176,1.014,-0.505,0.135,1.745,-0.349,1.396,1.396
